,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
10,265,265,45,102,0.441,10,31,0.323,24,31,0.774,18,36,54,27,5,7,14,29,124,0.536,0.49,0.304,0.304,33.3,78.3,54,60,4.6,10.1,10.8,100,113.3,111.5,8,20,0.6,5,11,0.5,5,7,1,6,8,10,7,2,2,3,6,22,8,0.689,0.7,0.733,0.571,25.6,45.9,27.2,28.1,2.3,5.2,22.5,28,165,117,SAC,124,0,1,265,265,47,98,0.48,8,29,0.276,20,24,0.833,10,36,46,28,6,11,15,25,122,0.562,0.52,0.296,0.245,21.7,66.7,46,59.6,5.5,15.5,12.1,100,111.5,113.3,11,18,1,3,7,1,7,9,1,3,12,15,14,2,3,6,6,29,5,1.5,1.5,1,0.778,25.9,28.2,19,53.6,3.3,16.8,25,38.6,300,121,DEN,122,1,2021,12/23/2020,TRUE
11,265,265,47,98,0.48,8,29,0.276,20,24,0.833,10,36,46,28,6,11,15,25,122,0.562,0.52,0.296,0.245,21.7,66.7,46,59.6,5.5,15.5,12.1,100,111.5,113.3,11,18,1,3,7,1,7,9,1,3,12,15,14,2,3,6,6,29,5,1.5,1.5,1,0.778,25.9,28.2,19,53.6,3.3,16.8,25,38.6,300,121,DEN,122,1,0,265,265,45,102,0.441,10,31,0.323,24,31,0.774,18,36,54,27,5,7,14,29,124,0.536,0.49,0.304,0.304,33.3,78.3,54,60,4.6,10.1,10.8,100,113.3,111.5,8,20,0.6,5,11,0.5,5,7,1,6,8,10,7,2,2,3,6,22,8,0.689,0.7,0.733,0.571,25.6,45.9,27.2,28.1,2.3,5.2,22.5,28,165,117,SAC,124,0,2021,12/23/2020,FALSE
12,240,240,39,85,0.459,12,28,0.429,17,23,0.739,5,35,40,25,8,8,16,27,107,0.562,0.529,0.329,0.271,11.1,77.8,44.4,64.1,7.6,13.3,14.4,100,101,114.2,11,15,0.733,3,8,1,8,9,1,2,8,9,9,2,3,5,5,26,5,0.819,0.833,0.8,1,11.4,24.8,17.1,41.3,9.5,11.3,50,26.5,150,123,NYK,107,0,1,240,240,46,94,0.489,8,34,0.235,21,29,0.724,10,40,50,28,6,9,13,24,121,0.567,0.532,0.362,0.309,22.2,88.9,55.6,60.9,5.7,15.8,10.9,100,114.2,101,11,18,0.667,2,6,0.5,8,12,1,4,9,13,8,2,8,4,5,32,20,0.718,0.714,0.833,0.667,11.6,26.1,18.8,31.5,2.6,23.4,20.5,29.7,137,108,IND,121,1,2021,12/23/2020,FALSE
13,240,240,46,94,0.489,8,34,0.235,21,29,0.724,10,40,50,28,6,9,13,24,121,0.567,0.532,0.362,0.309,22.2,88.9,55.6,60.9,5.7,15.8,10.9,100,114.2,101,11,18,0.667,2,6,0.5,8,12,1,4,9,13,8,2,8,4,5,32,20,0.718,0.714,0.833,0.667,11.6,26.1,18.8,31.5,2.6,23.4,20.5,29.7,137,108,IND,121,1,0,240,240,39,85,0.459,12,28,0.429,17,23,0.739,5,35,40,25,8,8,16,27,107,0.562,0.529,0.329,0.271,11.1,77.8,44.4,64.1,7.6,13.3,14.4,100,101,114.2,11,15,0.733,3,8,1,8,9,1,2,8,9,9,2,3,5,5,26,5,0.819,0.833,0.8,1,11.4,24.8,17.1,41.3,9.5,11.3,50,26.5,150,123,NYK,107,0,2021,12/23/2020,TRUE
14,240,240,48,95,0.505,10,25,0.4,25,29,0.862,8,40,48,28,8,8,10,18,131,0.608,0.558,0.263,0.305,17.8,88.9,53.3,58.3,7.4,11.8,8.5,100,121.6,110.5,9,17,0.667,3,5,0.75,14,15,1,4,7,9,9,3,3,3,4,28,14,0.847,0.833,0.556,1.071,22.2,35.4,19.4,41.6,4.2,10,15.9,27.5,151,116,SAS,131,0,1,240,240,49,95,0.516,10,27,0.37,11,18,0.611,5,37,42,27,6,8,11,20,119,0.578,0.568,0.284,0.189,11.1,82.2,46.7,55.1,5.6,11.4,9.7,100,110.5,121.6,18,27,0.667,2,6,1,7,8,1,3,10,13,9,2,2,2,6,44,10,0.833,0.833,0.857,0.545,10.8,37,23.5,50.3,3.8,11.7,25.4,37.8,145,128,MEM,119,1,2021,12/23/2020,TRUE
15,240,240,49,95,0.516,10,27,0.37,11,18,0.611,5,37,42,27,6,8,11,20,119,0.578,0.568,0.284,0.189,11.1,82.2,46.7,55.1,5.6,11.4,9.7,100,110.5,121.6,18,27,0.667,2,6,1,7,8,1,3,10,13,9,2,2,2,6,44,10,0.833,0.833,0.857,0.545,10.8,37,23.5,50.3,3.8,11.7,25.4,37.8,145,128,MEM,119,1,0,240,240,48,95,0.505,10,25,0.4,25,29,0.862,8,40,48,28,8,8,10,18,131,0.608,0.558,0.263,0.305,17.8,88.9,53.3,58.3,7.4,11.8,8.5,100,121.6,110.5,9,17,0.667,3,5,0.75,14,15,1,4,7,9,9,3,3,3,4,28,14,0.847,0.833,0.556,1.071,22.2,35.4,19.4,41.6,4.2,10,15.9,27.5,151,116,SAS,131,0,2021,12/23/2020,FALSE
16,240,240,45,93,0.484,8,35,0.229,3,8,0.375,7,37,44,29,5,2,12,20,101,0.523,0.527,0.376,0.086,16.3,75.5,47.8,64.4,5.1,4.3,11.1,100,102.6,112.7,8,14,0.875,3,8,0.5,3,5,0.6,4,7,9,6,2,1,4,5,19,5,0.875,0.875,1,0.385,29.2,50.8,34.8,33.1,3.6,3.8,40,27.7,183,119,DET,101,0,1,240,240,38,88,0.432,11,41,0.268,24,28,0.857,12,36,48,25,6,5,11,16,111,0.553,0.494,0.466,0.318,24.5,83.7,52.2,65.8,6.1,8.6,9.9,100,112.7,102.6,10,18,0.6,4,11,0.5,8,8,1,3,8,11,7,2,3,4,4,23,17,0.814,0.7,0.8,1.2,11.2,43.3,25.3,38.7,4.1,14.1,22.8,30.8,145,109,MIN,111,1,2021,12/23/2020,FALSE
17,240,240,38,88,0.432,11,41,0.268,24,28,0.857,12,36,48,25,6,5,11,16,111,0.553,0.494,0.466,0.318,24.5,83.7,52.2,65.8,6.1,8.6,9.9,100,112.7,102.6,10,18,0.6,4,11,0.5,8,8,1,3,8,11,7,2,3,4,4,23,17,0.814,0.7,0.8,1.2,11.2,43.3,25.3,38.7,4.1,14.1,22.8,30.8,145,109,MIN,111,1,0,240,240,45,93,0.484,8,35,0.229,3,8,0.375,7,37,44,29,5,2,12,20,101,0.523,0.527,0.376,0.086,16.3,75.5,47.8,64.4,5.1,4.3,11.1,100,102.6,112.7,8,14,0.875,3,8,0.5,3,5,0.6,4,7,9,6,2,1,4,5,19,5,0.875,0.875,1,0.385,29.2,50.8,34.8,33.1,3.6,3.8,40,27.7,183,119,DET,101,0,2021,12/23/2020,TRUE
18,240,240,42,83,0.506,7,20,0.35,16,19,0.842,7,36,43,25,11,2,22,21,107,0.586,0.548,0.241,0.229,18.9,76.6,51.2,59.5,10.5,3.3,19.4,100,102,107.7,11,16,0.75,3,6,0.5,5,5,1,3,8,11,7,7,1,7,4,25,7,0.751,0.75,0.75,1,15.4,25.4,18.1,47.6,9,4.8,60,30.2,142,115,MIA,107,0,1,240,240,42,88,0.477,10,28,0.357,19,30,0.633,11,30,41,23,15,3,17,19,113,0.558,0.534,0.318,0.341,23.4,81.1,48.8,54.8,14.3,4.8,14.4,100,107.7,102,9,15,0.727,3,6,0.6,4,8,1,3,9,11,6,4,1,4,4,25,17,0.822,0.808,0.429,0.667,17.3,34.8,18.7,43.5,7,4.3,37.5,28.6,147,109,ORL,113,1,2021,12/23/2020,FALSE
19,240,240,42,88,0.477,10,28,0.357,19,30,0.633,11,30,41,23,15,3,17,19,113,0.558,0.534,0.318,0.341,23.4,81.1,48.8,54.8,14.3,4.8,14.4,100,107.7,102,9,15,0.727,3,6,0.6,4,8,1,3,9,11,6,4,1,4,4,25,17,0.822,0.808,0.429,0.667,17.3,34.8,18.7,43.5,7,4.3,37.5,28.6,147,109,ORL,113,1,0,240,240,42,83,0.506,7,20,0.35,16,19,0.842,7,36,43,25,11,2,22,21,107,0.586,0.548,0.241,0.229,18.9,76.6,51.2,59.5,10.5,3.3,19.4,100,102,107.7,11,16,0.75,3,6,0.5,5,5,1,3,8,11,7,7,1,7,4,25,7,0.751,0.75,0.75,1,15.4,25.4,18.1,47.6,9,4.8,60,30.2,142,115,MIA,107,0,2021,12/23/2020,TRUE
